chan_no,length,manning,dispersion,upnode,downnode
462,7577,0.021,1800,374,375
463,7670,0.021,1800,375,376
464,10666,0.021,1800,445,377
465,3782,0.021,1800,377,378
466,6218,0.021,1800,378,364
467,7000,0.021,1200,379,380
468,14000,0.021,1200,380,381
469,9552,0.021,1200,381,382
470,11154,0.021,1200,443,377
471,7216,0.021,1200,442,377
472,12233,0.021,1200,385,384
473,3909,0.021,1200,367,385
474,4692,0.021,1200,382,443
475,6300,0.021,1200,387,388
476,9200,0.021,1200,389,390
477,4000,0.021,1200,390,388
478,4137,0.021,1200,388,375
479,10560,0.021,1200,390,391
480,13002,0.021,1200,391,382
481,2078,0.021,1200,381,391
483,13500,0.021,1200,392,371
484,21700,0.021,1200,400,372
485,6000,0.021,1800,394,373
486,11538,0.021,1200,395,371
487,3500,0.021,1200,393,400
488,6052,0.021,1800,397,398
489,1930,0.021,1800,373,398
490,8824,0.021,1800,398,399
491,10953,0.021,1800,399,425
497,7449,0.021,1200,403,409
498,10349,0.021,1200,409,406
499,5920,0.021,1800,406,421
500,3011,0.021,1200,384,444
501,3814,0.021,1200,444,442
502,14300,0.021,1200,408,409
503,10167,0.021,1200,409,410
505,3226,0.021,1200,410,406
506,6836,0.021,1200,412,406
507,5262,0.021,1200,404,405
508,6213,0.021,1200,405,395
509,11407,0.021,1800,413,421
511,5773,0.021,1800,464,417
512,6038,0.021,1800,417,418
513,31445,0.021,1800,418,420
515,12292,0.021,1800,420,421
516,8664,0.021,1800,421,422
517,12909,0.021,1800,422,425
522,22742,0.021,1800,425,428
523,10015,0.021,1800,428,364
527,15700,0.021,1800,327,425
528,2107,0.021,1800,376,428
529,1250,0.021,1800,432,418
530,14250,0.021,1800,433,432
531,11750,0.021,1800,434,433
532,14750,0.021,1800,436,434
537,3500,0.021,1200,384,440
539,5500,0.021,1800,440,378
542,4200,0.021,1800,440,365
543,4398,0.021,1800,376,445
544,7164,0.021,1200,386,445
549,2501,0.038,360,446,257
550,2617,0.038,360,447,257
552,9487,0.03,360,448,449
553,10118,0.03,360,449,253
555,5248,0.038,360,451,452
556,7237,0.038,360,452,453
557,7701,0.038,360,453,454
558,2039,0.038,360,454,253
559,4951,0.038,360,455,454
560,6244,0.022,360,456,457
561,6259,0.022,360,457,18
570,7400,0.022,1800,357,227
571,11150,0.022,1800,227,238
572,8000,0.022,1800,228,365
573,8000,0.022,1800,363,228
574,13318,0.022,1800,328,227
575,13000,0.022,1800,328,357
700,10000,0.033,360,700,330
701,10000,0.033,360,701,700
702,10000,0.033,360,702,701
703,10000,0.033,360,703,702
